income_year,normalized_income_range,income_range_display,sex,taxable_status,age_range_display,individuals_count,total_income_amount,net_tax_amount
2010–11,"$6,000 or less","$6,000 or less",Female,Non Taxable,Under 18,52960.0,168101674.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Female,Non Taxable,18 - 24,61635.0,211280558.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Female,Non Taxable,25 - 29,54105.0,103763187.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Female,Non Taxable,30 - 34,75155.0,70195920.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Female,Non Taxable,35 - 39,88605.0,66437042.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Female,Non Taxable,40 - 44,76070.0,52392673.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Female,Non Taxable,45 - 49,56100.0,37827161.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Female,Non Taxable,50 - 54,44875.0,5835001.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Female,Non Taxable,55 - 59,40395.0,18868356.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Female,Non Taxable,60 - 64,51940.0,66769801.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Female,Non Taxable,65 - 69,34270.0,55911794.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Female,Non Taxable,70 - 74,24595.0,35966359.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Female,Non Taxable,75 and over,33590.0,63232422.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Female,Taxable,Under 18,870.0,3477088.0,194051.0
2010–11,"$6,000 or less","$6,000 or less",Female,Taxable,18 - 24,1030.0,3605076.0,811970.0
2010–11,"$6,000 or less","$6,000 or less",Female,Taxable,25 - 29,885.0,2626943.0,616001.0
2010–11,"$6,000 or less","$6,000 or less",Female,Taxable,30 - 34,825.0,2408746.0,529063.0
2010–11,"$6,000 or less","$6,000 or less",Female,Taxable,35 - 39,905.0,2937051.0,634083.0
2010–11,"$6,000 or less","$6,000 or less",Female,Taxable,40 - 44,860.0,3006858.0,640811.0
2010–11,"$6,000 or less","$6,000 or less",Female,Taxable,45 - 49,785.0,2761820.0,619992.0
2010–11,"$6,000 or less","$6,000 or less",Female,Taxable,50 - 54,685.0,2547818.0,563139.0
2010–11,"$6,000 or less","$6,000 or less",Female,Taxable,55 - 59,605.0,2348722.0,495208.0
2010–11,"$6,000 or less","$6,000 or less",Female,Taxable,60 - 64,475.0,1878075.0,417593.0
2010–11,"$6,000 or less","$6,000 or less",Female,Taxable,65 - 69,245.0,849997.0,209553.0
2010–11,"$6,000 or less","$6,000 or less",Female,Taxable,70 - 74,110.0,430833.0,93241.0
2010–11,"$6,000 or less","$6,000 or less",Female,Taxable,75 and over,120.0,466971.0,109793.0
2010–11,"$6,000 or less","$6,000 or less",Male,Non Taxable,Under 18,50330.0,152991325.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Male,Non Taxable,18 - 24,56745.0,194549982.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Male,Non Taxable,25 - 29,27805.0,62739435.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Male,Non Taxable,30 - 34,21990.0,-3805476.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Male,Non Taxable,35 - 39,24035.0,-5843106.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Male,Non Taxable,40 - 44,26755.0,-26952636.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Male,Non Taxable,45 - 49,28225.0,-22206557.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Male,Non Taxable,50 - 54,28590.0,6283472.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Male,Non Taxable,55 - 59,28625.0,-26409860.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Male,Non Taxable,60 - 64,45600.0,25428207.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Male,Non Taxable,65 - 69,34930.0,41545344.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Male,Non Taxable,70 - 74,26470.0,36519504.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Male,Non Taxable,75 and over,34780.0,89784987.0,0.0
2010–11,"$6,000 or less","$6,000 or less",Male,Taxable,Under 18,930.0,3715954.0,216048.0
2010–11,"$6,000 or less","$6,000 or less",Male,Taxable,18 - 24,880.0,2886526.0,756193.0
2010–11,"$6,000 or less","$6,000 or less",Male,Taxable,25 - 29,940.0,2910787.0,657952.0
2010–11,"$6,000 or less","$6,000 or less",Male,Taxable,30 - 34,980.0,2996454.0,608236.0
2010–11,"$6,000 or less","$6,000 or less",Male,Taxable,35 - 39,960.0,3029222.0,638330.0
2010–11,"$6,000 or less","$6,000 or less",Male,Taxable,40 - 44,1025.0,4010772.0,735119.0
2010–11,"$6,000 or less","$6,000 or less",Male,Taxable,45 - 49,955.0,3882810.0,766638.0
2010–11,"$6,000 or less","$6,000 or less",Male,Taxable,50 - 54,885.0,3650547.0,669427.0
2010–11,"$6,000 or less","$6,000 or less",Male,Taxable,55 - 59,745.0,2929404.0,603554.0
2010–11,"$6,000 or less","$6,000 or less",Male,Taxable,60 - 64,650.0,2843920.0,532973.0
2010–11,"$6,000 or less","$6,000 or less",Male,Taxable,65 - 69,320.0,1469058.0,267324.0
2010–11,"$6,000 or less","$6,000 or less",Male,Taxable,70 - 74,150.0,628677.0,127729.0
2010–11,"$6,000 or less","$6,000 or less",Male,Taxable,75 and over,135.0,491486.0,116615.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Non Taxable,Under 18,25060.0,198865820.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Non Taxable,18 - 24,68330.0,572069453.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Non Taxable,25 - 29,27705.0,234858478.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Non Taxable,30 - 34,25700.0,220213669.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Non Taxable,35 - 39,25200.0,218590777.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Non Taxable,40 - 44,22060.0,194815813.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Non Taxable,45 - 49,18070.0,160500161.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Non Taxable,50 - 54,17045.0,153282255.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Non Taxable,55 - 59,17075.0,152023786.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Non Taxable,60 - 64,20915.0,182453806.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Non Taxable,65 - 69,11935.0,105362691.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Non Taxable,70 - 74,5785.0,51434788.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Non Taxable,75 and over,5960.0,53060035.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Taxable,Under 18,420.0,3506461.0,603334.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Taxable,18 - 24,305.0,2756951.0,687198.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Taxable,25 - 29,260.0,2247107.0,533946.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Taxable,30 - 34,280.0,2390742.0,593817.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Taxable,35 - 39,270.0,2310137.0,576933.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Taxable,40 - 44,370.0,3306515.0,795174.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Taxable,45 - 49,360.0,3131382.0,794776.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Taxable,50 - 54,380.0,3206249.0,824162.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Taxable,55 - 59,370.0,3112577.0,797825.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Taxable,60 - 64,265.0,2464372.0,589672.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Taxable,65 - 69,150.0,1366903.0,300709.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Taxable,70 - 74,80.0,744687.0,165762.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Female,Taxable,75 and over,90.0,756097.0,196344.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Non Taxable,Under 18,21870.0,176876336.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Non Taxable,18 - 24,60715.0,510948825.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Non Taxable,25 - 29,20685.0,176842458.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Non Taxable,30 - 34,11830.0,105295750.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Non Taxable,35 - 39,9585.0,89128299.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Non Taxable,40 - 44,9590.0,89206979.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Non Taxable,45 - 49,9540.0,90683843.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Non Taxable,50 - 54,9995.0,96203148.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Non Taxable,55 - 59,10205.0,98030579.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Non Taxable,60 - 64,16185.0,150310104.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Non Taxable,65 - 69,12745.0,115759868.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Non Taxable,70 - 74,7080.0,64548180.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Non Taxable,75 and over,6405.0,57514674.0,0.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Taxable,Under 18,380.0,3190998.0,523097.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Taxable,18 - 24,330.0,2711933.0,725892.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Taxable,25 - 29,365.0,3518411.0,797504.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Taxable,30 - 34,295.0,2535231.0,626730.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Taxable,35 - 39,320.0,2705796.0,700224.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Taxable,40 - 44,395.0,3543618.0,843703.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Taxable,45 - 49,430.0,3995563.0,922250.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Taxable,50 - 54,430.0,4220141.0,947152.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Taxable,55 - 59,395.0,3671413.0,853979.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Taxable,60 - 64,360.0,3296882.0,776438.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Taxable,65 - 69,190.0,1667143.0,391368.0
2010–11,"$6,001 to $10,000","$6,001 to $10,000",Male,Taxable,70 - 74,100.0,1292722.0,196206.0
