income_year,normalized_income_range,income_range_display,sex,taxable_status,age_range_display,individuals_count,total_income_amount,net_tax_amount
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,18 - 24,8.0,15313851.101660628,6512448.084463604
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,25 - 29,15.0,30559587.17247644,13040009.16188429
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,30 - 34,55.0,180282219.24068686,80463498.2272574
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,35 - 39,194.0,437781078.67710245,193474575.4124152
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,40 - 44,344.0,688103092.8526596,298159201.62274
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,45 - 49,471.0,1115125360.2748535,486787898.9432647
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,50 - 54,423.0,1140866881.2297907,496742763.40249234
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,55 - 59,353.0,977737947.9482151,424646910.51132536
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,60 - 64,261.0,1047892777.1013013,464800020.3424794
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,65 - 69,209.0,602436998.1604528,265774411.5825048
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,70 - 74,121.0,292156060.2835784,126540131.57949159
2010–11,"$1,000,001 or more","$1,000,001 or more",Female,Taxable,75 and over,308.0,775315332.5047667,330526312.19911414
2010–11,"$1,000,001 or more","$1,000,001 or more",Male,Taxable,18 - 24,9.0,16796024.090993218,7029230.693103833
2010–11,"$1,000,001 or more","$1,000,001 or more",Male,Taxable,25 - 29,34.0,48814791.67784829,20575837.51220722
2010–11,"$1,000,001 or more","$1,000,001 or more",Male,Taxable,30 - 34,198.0,415157156.95498157,178280939.0345676
2010–11,"$1,000,001 or more","$1,000,001 or more",Male,Taxable,35 - 39,766.0,1412530214.0981312,610680711.5078726
2010–11,"$1,000,001 or more","$1,000,001 or more",Male,Taxable,40 - 44,1629.0,3384731860.2639847,1472713113.233292
2010–11,"$1,000,001 or more","$1,000,001 or more",Male,Taxable,45 - 49,2086.0,4733667792.969751,2044520540.480236
2010–11,"$1,000,001 or more","$1,000,001 or more",Male,Taxable,50 - 54,1916.0,4689806276.689386,2018935978.460845
2010–11,"$1,000,001 or more","$1,000,001 or more",Male,Taxable,55 - 59,1478.0,3706178873.5129104,1575059058.534654
2010–11,"$1,000,001 or more","$1,000,001 or more",Male,Taxable,60 - 64,1035.0,2840208444.380072,1209548008.2716227
2010–11,"$1,000,001 or more","$1,000,001 or more",Male,Taxable,65 - 69,539.0,1694226194.5206592,717063781.1127632
2010–11,"$1,000,001 or more","$1,000,001 or more",Male,Taxable,70 - 74,233.0,813325731.0463716,353281788.0848507
2010–11,"$1,000,001 or more","$1,000,001 or more",Male,Taxable,75 and over,347.0,1041023545.5719607,434152200.90055937
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Non Taxable,18 - 24,150863.0,2712169970.2646074,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Non Taxable,25 - 29,63450.0,1184042796.3553014,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Non Taxable,30 - 34,58672.0,1100693679.9530509,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Non Taxable,35 - 39,60188.0,1140459836.5039358,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Non Taxable,40 - 44,55080.0,1053817976.7650447,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Non Taxable,45 - 49,46209.0,892432070.1293371,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Non Taxable,50 - 54,42407.0,823943656.3181455,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Non Taxable,55 - 59,51822.0,1072233319.9018512,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Non Taxable,60 - 64,59025.0,1197592709.6472058,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Non Taxable,65 - 69,41692.0,873738855.8227428,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Non Taxable,70 - 74,26327.0,567029736.9082593,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Non Taxable,75 and over,32179.0,711312847.7654701,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Non Taxable,Under 18,23839.0,349735168.9466585,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Taxable,18 - 24,61304.0,1612057749.8939497,27280640.372075703
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Taxable,25 - 29,24637.0,651885340.643602,12892199.49476532
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Taxable,30 - 34,20701.0,551285123.7783782,10595953.264976231
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Taxable,35 - 39,21954.0,588225987.3106081,10964096.906136952
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Taxable,40 - 44,22310.0,598244801.3287605,11684652.528366722
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Taxable,45 - 49,21174.0,568502403.648544,11172651.207192017
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Taxable,50 - 54,20306.0,552097465.8043542,11146418.81229473
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Taxable,55 - 59,8053.0,230088185.42566007,3842528.198676831
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Taxable,60 - 64,7590.0,223323944.33054623,3642164.117650245
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Taxable,65 - 69,1386.0,43590093.71042692,1340397.609274747
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Taxable,70 - 74,606.0,19243920.22972766,672321.9812382493
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Taxable,75 and over,615.0,16195417.67226035,805961.3939363193
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Female,Taxable,Under 18,2696.0,63257142.59219907,1963389.9028785052
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Non Taxable,18 - 24,132674.0,2414511744.0676537,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Non Taxable,25 - 29,49641.0,934475350.7477467,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Non Taxable,30 - 34,31406.0,611522688.1001337,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Non Taxable,35 - 39,27728.0,557462210.4766989,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Non Taxable,40 - 44,27480.0,550618227.6210911,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Non Taxable,45 - 49,27672.0,561564998.1150677,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Non Taxable,50 - 54,27198.0,553668361.5755458,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Non Taxable,55 - 59,32948.0,711674873.4529274,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Non Taxable,60 - 64,44557.0,941553688.7448804,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Non Taxable,65 - 69,42729.0,913864256.4314358,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Non Taxable,70 - 74,29960.0,646023330.1380454,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Non Taxable,75 and over,34664.0,765506526.2034445,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Non Taxable,Under 18,24266.0,378985887.26155174,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Taxable,18 - 24,60349.0,1630284858.187265,27718654.446210224
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Taxable,25 - 29,23513.0,627942181.3130581,12863765.210678842
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Taxable,30 - 34,14087.0,379493121.932737,8313430.8385548815
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Taxable,35 - 39,11454.0,314226597.39364886,6981550.4754935205
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Taxable,40 - 44,11209.0,305838090.5066434,7312441.992839112
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Taxable,45 - 49,11468.0,312804114.72846997,7469311.847614086
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Taxable,50 - 54,11516.0,321498325.07543194,7696640.827298817
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Taxable,55 - 59,5320.0,154112679.82598418,3764572.4185122363
