income_year,sex,taxable_status,age_range,normalized_income_range,individuals_count,salary_wages_count,salary_wages_amount,total_income_count,total_income_amount,car_expenses_count,car_expenses_amount,travel_expenses_count,travel_expenses_amount,uniform_expenses_count,uniform_expenses_amount,education_expenses_count,education_expenses_amount,other_work_expenses_count,other_work_expenses_amount,donations_count,donations_amount,tax_affairs_count,tax_affairs_amount,ato_interest_count,ato_interest_amount,litigation_count,litigation_amount,other_tax_affairs_count,other_tax_affairs_amount,total_deductions_count,total_deductions_amount,capital_gains_count,capital_gains_amount,rent_profit_count,rent_profit_amount,rent_loss_count,rent_loss_amount,net_rent_count,net_rent_amount,business_income_count,business_income_amount,business_expenses_count,business_expenses_amount,net_business_count,net_business_amount,taxable_income_count,taxable_income_amount,net_tax_count,net_tax_amount,income_range_display,age_range_display
2010–11,Female,Non Taxable,00. Under 18,"$6,000 or less",52960.0,35225.0,113060264.0,51915.0,168101674.0,70.0,37114.0,340.0,64440.0,10135.0,1242524.0,415.0,474596.0,3995.0,650147.0,1880.0,84740.0,915.0,97948.0,0.0,0.0,0.0,0.0,0.0,0.0,13650.0,2741797.0,980.0,984810.0,5.0,7817.0,5.0,-27621.0,10.0,-19804.0,70.0,205008.0,60.0,183979.0,85.0,12345.0,51830.0,165530669.0,0.0,0.0,"$6,000 or less",Under 18
2010–11,Female,Non Taxable,01. 18 - 24,"$6,000 or less",61635.0,52095.0,186251095.0,58230.0,211280558.0,1085.0,1323811.0,1515.0,705034.0,11740.0,1923029.0,2395.0,10890426.0,5845.0,3274314.0,4090.0,476270.0,3410.0,549876.0,0.0,0.0,0.0,0.0,0.0,0.0,19435.0,19587203.0,205.0,488785.0,55.0,157657.0,510.0,-4538857.0,570.0,-4381200.0,1355.0,35624092.0,1105.0,38008901.0,1380.0,-3186153.0,57090.0,199840454.0,0.0,0.0,"$6,000 or less",18 - 24
2010–11,Female,Non Taxable,02. 25 - 29,"$6,000 or less",54105.0,30435.0,119095250.0,42510.0,103763187.0,1485.0,2018872.0,955.0,802745.0,7470.0,1500311.0,1190.0,7497424.0,5770.0,3451443.0,3780.0,579603.0,6140.0,1184398.0,0.0,0.0,0.0,0.0,0.0,0.0,16330.0,18802261.0,535.0,1674880.0,375.0,815491.0,4085.0,-31771204.0,4460.0,-30955713.0,3380.0,162687078.0,3180.0,168778244.0,3495.0,-10360133.0,37850.0,115014362.0,0.0,0.0,"$6,000 or less",25 - 29
2010–11,Female,Non Taxable,03. 30 - 34,"$6,000 or less",75155.0,28810.0,128006215.0,53165.0,70195920.0,2195.0,2752965.0,845.0,533212.0,7560.0,1229266.0,1090.0,3580856.0,8190.0,4057576.0,5500.0,889903.0,10360.0,2561262.0,0.0,0.0,0.0,0.0,0.0,0.0,22830.0,20780932.0,1410.0,5779937.0,1230.0,2866747.0,9725.0,-76189571.0,10955.0,-73322824.0,6430.0,255243012.0,6190.0,268537159.0,6645.0,-22179729.0,42520.0,116416594.0,0.0,0.0,"$6,000 or less",30 - 34
2010–11,Female,Non Taxable,04. 35 - 39,"$6,000 or less",88605.0,27085.0,141063790.0,60850.0,66437042.0,2360.0,3324178.0,780.0,694247.0,6995.0,1568163.0,1045.0,2817799.0,8480.0,4384540.0,6265.0,1224181.0,13060.0,10378350.0,0.0,0.0,0.0,0.0,0.0,0.0,26470.0,38126448.0,2240.0,10035105.0,2240.0,5958049.0,12075.0,-104607886.0,14320.0,-98649837.0,8405.0,471538031.0,8235.0,495842826.0,8735.0,-35067761.0,46050.0,120906043.0,0.0,0.0,"$6,000 or less",35 - 39
2010–11,Female,Non Taxable,05. 40 - 44,"$6,000 or less",76070.0,20790.0,128508141.0,51925.0,52392673.0,1870.0,3024051.0,565.0,494326.0,5255.0,955357.0,755.0,1839520.0,6185.0,3242838.0,5075.0,1300773.0,11525.0,4925123.0,0.0,0.0,0.0,0.0,0.0,0.0,22210.0,32486700.0,2100.0,14546950.0,2395.0,7609487.0,10070.0,-104427116.0,12465.0,-96817629.0,7440.0,701876278.0,7390.0,739638821.0,7785.0,-43262018.0,38005.0,100139433.0,0.0,0.0,"$6,000 or less",40 - 44
2010–11,Female,Non Taxable,06. 45 - 49,"$6,000 or less",56100.0,15565.0,122297362.0,40305.0,37827161.0,1555.0,3486942.0,450.0,574707.0,4390.0,861473.0,540.0,1563528.0,4375.0,2867811.0,3870.0,1185914.0,9465.0,5957909.0,0.0,0.0,0.0,0.0,0.0,0.0,17495.0,43582349.0,1815.0,14533195.0,2060.0,8133995.0,8125.0,-107149894.0,10190.0,-99015899.0,5945.0,746511260.0,5880.0,784652002.0,6140.0,-47051625.0,27925.0,75892685.0,0.0,0.0,"$6,000 or less",45 - 49
2010–11,Female,Non Taxable,07. 50 - 54,"$6,000 or less",44875.0,13050.0,116522319.0,36310.0,5835001.0,1410.0,2816097.0,375.0,627938.0,3780.0,704984.0,320.0,586609.0,3800.0,2705135.0,3545.0,1087177.0,8900.0,5570304.0,0.0,0.0,0.0,0.0,0.0,0.0,15715.0,35780207.0,1805.0,15699397.0,2205.0,8792154.0,7625.0,-107587855.0,9830.0,-98795701.0,5045.0,599681580.0,5065.0,629252313.0,5245.0,-41171417.0,24445.0,66535106.0,0.0,0.0,"$6,000 or less",50 - 54
2010–11,Female,Non Taxable,08. 55 - 59,"$6,000 or less",40395.0,10195.0,84146931.0,36855.0,18868356.0,1045.0,1841193.0,295.0,452043.0,2600.0,486448.0,170.0,356619.0,2900.0,1946170.0,3965.0,1475834.0,8760.0,5469617.0,0.0,0.0,0.0,0.0,0.0,0.0,14830.0,29313315.0,1940.0,14559927.0,2465.0,10225129.0,6700.0,-86880953.0,9165.0,-76655824.0,3985.0,458573085.0,3990.0,485267658.0,4155.0,-37839783.0,26060.0,69485212.0,0.0,0.0,"$6,000 or less",55 - 59
2010–11,Female,Non Taxable,09. 60 - 64,"$6,000 or less",51940.0,9055.0,57079578.0,49805.0,66769801.0,815.0,1365651.0,205.0,247922.0,1745.0,286762.0,90.0,105453.0,2415.0,1439917.0,6280.0,3311562.0,11530.0,6401267.0,0.0,0.0,0.0,0.0,0.0,0.0,18280.0,36060683.0,2660.0,17748849.0,3400.0,13059611.0,5760.0,-66189228.0,9160.0,-53129617.0,3340.0,332831617.0,3375.0,354058256.0,3540.0,-32435934.0,39215.0,96185532.0,0.0,0.0,"$6,000 or less",60 - 64
2010–11,Female,Non Taxable,10. 65 - 69,"$6,000 or less",34270.0,2295.0,14131924.0,33420.0,55911794.0,170.0,351041.0,65.0,114411.0,275.0,84493.0,25.0,69708.0,595.0,531613.0,2990.0,3169107.0,4930.0,3704583.0,0.0,0.0,0.0,0.0,0.0,0.0,7675.0,21621695.0,1245.0,8472503.0,1470.0,6965022.0,2105.0,-25705624.0,3575.0,-18740602.0,1260.0,109795316.0,1275.0,122260672.0,1340.0,-16922076.0,28440.0,56409536.0,0.0,0.0,"$6,000 or less",65 - 69
2010–11,Female,Non Taxable,11. 70 - 74,"$6,000 or less",24595.0,525.0,2576773.0,24175.0,35966359.0,40.0,151196.0,15.0,48595.0,45.0,8262.0,5.0,19057.0,115.0,91725.0,1445.0,2665714.0,2075.0,2032045.0,0.0,0.0,0.0,0.0,0.0,0.0,3250.0,10455622.0,545.0,2814109.0,595.0,2872054.0,670.0,-7912262.0,1265.0,-5040208.0,505.0,81013172.0,520.0,90020235.0,535.0,-9564644.0,22080.0,37565014.0,0.0,0.0,"$6,000 or less",70 - 74
2010–11,Female,Non Taxable,12. 75 and over,"$6,000 or less",33590.0,145.0,736114.0,33175.0,63232422.0,15.0,108862.0,5.0,3512.0,10.0,2468.0,5.0,508.0,30.0,49509.0,1010.0,10055737.0,1880.0,1588413.0,0.0,0.0,0.0,0.0,0.0,0.0,2670.0,16545569.0,400.0,2765233.0,460.0,2553622.0,335.0,-4147257.0,795.0,-1593635.0,410.0,47850530.0,450.0,57504659.0,455.0,-11381720.0,31640.0,53655437.0,0.0,0.0,"$6,000 or less",75 and over
