income_year,sex,taxable_status,age_range,taxable_income_range,tax_bracket,tax_bracket_range,individuals_count,salary_wages_count,salary_wages_amount,total_income_count,total_income_amount,car_expenses_count,car_expenses_amount,travel_expenses_count,travel_expenses_amount,uniform_expenses_count,uniform_expenses_amount,education_expenses_count,education_expenses_amount,other_work_expenses_count,other_work_expenses_amount,donations_count,donations_amount,tax_affairs_count,tax_affairs_amount,ato_interest_count,ato_interest_amount,litigation_count,litigation_amount,other_tax_affairs_count,other_tax_affairs_amount,total_deductions_count,total_deductions_amount,capital_gains_count,capital_gains_amount,rent_profit_count,rent_profit_amount,rent_loss_count,rent_loss_amount,net_rent_count,net_rent_amount,business_income_count,business_income_amount,business_expenses_count,business_expenses_amount,net_business_count,net_business_amount,taxable_income_count,taxable_income_amount,net_tax_count,net_tax_amount
2010–11,Female,Non Taxable,00. Under 18,"A00006000. $6,000 or less",1,"$6,000 or less",52960.0,35225.0,113060264.0,51915.0,168101674.0,70.0,37114.0,340.0,64440.0,10135.0,1242524.0,415.0,474596.0,3995.0,650147.0,1880.0,84740.0,915.0,97948.0,,,,,,,13650.0,2741797.0,980.0,984810.0,5.0,7817.0,5.0,-27621.0,10.0,-19804.0,70.0,205008.0,60.0,183979.0,85.0,12345.0,51830.0,165530669.0,0.0,0.0
2010–11,Female,Non Taxable,00. Under 18,"B00006001. $6,001 to $10,000",2,"$6,001 to $37,000",25060.0,24340.0,164405211.0,25060.0,198865820.0,165.0,111263.0,395.0,84555.0,10960.0,1636114.0,645.0,443092.0,4325.0,945761.0,2215.0,96494.0,745.0,65920.0,,,,,,,13310.0,3404450.0,165.0,235526.0,10.0,33158.0,5.0,-5093.0,10.0,28065.0,50.0,206808.0,30.0,43189.0,50.0,133448.0,25060.0,195460155.0,0.0,0.0
2010–11,Female,Non Taxable,00. Under 18,"B00010001. $10,001 to $15,000",2,"$6,001 to $37,000",13540.0,13110.0,134021058.0,13540.0,166471515.0,260.0,152708.0,355.0,89667.0,6985.0,1252101.0,770.0,596860.0,2980.0,850505.0,1560.0,70527.0,760.0,77488.0,,,,,,,8390.0,3112621.0,110.0,158425.0,5.0,8349.0,5.0,-213.0,5.0,8136.0,50.0,557556.0,35.0,246377.0,50.0,310125.0,13540.0,163358700.0,0.0,0.0
2010–11,Female,Non Taxable,00. Under 18,"B00015001. $15,001 to $20,000",2,"$6,001 to $37,000",1950.0,1795.0,24554486.0,1950.0,31456101.0,85.0,83815.0,55.0,27500.0,1035.0,214731.0,170.0,142630.0,565.0,196815.0,265.0,11141.0,165.0,17482.0,,,,,,,1280.0,699836.0,25.0,114799.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,317662.0,15.0,79402.0,20.0,238260.0,1950.0,30756286.0,0.0,0.0
2010–11,Female,Non Taxable,00. Under 18,"B00020001. $20,001 to $25,000",2,"$6,001 to $37,000",15.0,15.0,102465.0,15.0,323658.0,5.0,50.0,0.0,0.0,5.0,1166.0,0.0,0.0,5.0,217.0,5.0,65.0,5.0,263.0,,,,,,,10.0,1761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,321897.0,0.0,0.0
2010–11,Female,Non Taxable,01. 18 - 24,"A00006000. $6,000 or less",1,"$6,000 or less",61635.0,52095.0,186251095.0,58230.0,211280558.0,1085.0,1323811.0,1515.0,705034.0,11740.0,1923029.0,2395.0,10890426.0,5845.0,3274314.0,4090.0,476270.0,3410.0,549876.0,,,,,,,19435.0,19587203.0,205.0,488785.0,55.0,157657.0,510.0,-4538857.0,570.0,-4381200.0,1355.0,35624092.0,1105.0,38008901.0,1380.0,-3186153.0,57090.0,199840454.0,0.0,0.0
2010–11,Female,Non Taxable,01. 18 - 24,"B00006001. $6,001 to $10,000",2,"$6,001 to $37,000",68330.0,63565.0,456804190.0,68330.0,572069453.0,2180.0,2124166.0,2345.0,736039.0,22785.0,3838584.0,4815.0,7130880.0,11555.0,3019994.0,8095.0,873044.0,5265.0,638239.0,,,,,,,33945.0,18606423.0,230.0,290918.0,55.0,248287.0,190.0,-1494896.0,245.0,-1246609.0,1310.0,13890516.0,1000.0,9890929.0,1325.0,3680082.0,68330.0,553266445.0,0.0,0.0
2010–11,Female,Non Taxable,01. 18 - 24,"B00010001. $10,001 to $15,000",2,"$6,001 to $37,000",107390.0,102850.0,1076789562.0,107390.0,1390478816.0,5745.0,5940157.0,4335.0,1422568.0,45770.0,8521723.0,11160.0,15501993.0,23410.0,6952700.0,16660.0,1819498.0,12690.0,1512224.0,,,,,,,64770.0,42173103.0,410.0,756884.0,100.0,450716.0,330.0,-2168834.0,430.0,-1718118.0,2320.0,27080233.0,1870.0,16965095.0,2350.0,9757506.0,107390.0,1348111781.0,0.0,0.0
2010–11,Female,Non Taxable,01. 18 - 24,"B00015001. $15,001 to $20,000",2,"$6,001 to $37,000",41055.0,37855.0,441082769.0,41055.0,686298739.0,3660.0,4397825.0,1990.0,800500.0,19895.0,4050264.0,6135.0,7736422.0,11140.0,3884224.0,7565.0,877150.0,7375.0,907925.0,,,,,,,28060.0,22899246.0,170.0,541153.0,40.0,125907.0,120.0,-911496.0,160.0,-785589.0,1455.0,21958282.0,1235.0,11465264.0,1465.0,10315755.0,41055.0,663203448.0,0.0,0.0
2010–11,Female,Non Taxable,01. 18 - 24,"B00020001. $20,001 to $25,000",2,"$6,001 to $37,000",3925.0,3830.0,44289103.0,3925.0,89524898.0,430.0,469322.0,220.0,76685.0,2255.0,463546.0,265.0,311483.0,1160.0,320716.0,960.0,98167.0,1015.0,122616.0,,,,,,,2930.0,1881455.0,5.0,713.0,5.0,5386.0,10.0,-60243.0,15.0,-54857.0,65.0,766872.0,60.0,440173.0,65.0,312778.0,3925.0,87643499.0,0.0,0.0
